Perbandingan,Time,Type,Peak Identification,Conc
1.0,0.0,Product,A1,0.0
1.0,2.0,Product,A1,0.02891
1.0,4.0,Product,A1,0.026
1.0,6.0,Product,A1,0.02446
1.0,8.0,Product,A1,0.02529
1.0,10.0,Product,A1,0.02253
1.0,13.0,Product,A1,0.02084
1.0,16.0,Product,A1,0.02037
1.0,19.0,Product,A1,0.02093
1.0,22.0,Product,A1,0.0229
1.0,25.0,Product,A1,0.02262
1.0,30.0,Product,A1,0.02188
1.0,35.0,Product,A1,0.02186
1.0,40.0,Product,A1,0.0196
1.0,50.0,Product,A1,0.02251
1.0,70.0,Product,A1,0.02367
1.0,80.0,Product,A1,0.02182
1.0,120.0,Product,A1,0.02403
1.0,0.0,Product,A1_B1,0.0
1.0,4.0,Product,A1_B1,0.00052
1.0,6.0,Product,A1_B1,0.00275
1.0,8.0,Product,A1_B1,0.00348
1.0,10.0,Product,A1_B1,0.00331
1.0,13.0,Product,A1_B1,0.00313
1.0,16.0,Product,A1_B1,0.00579
1.0,19.0,Product,A1_B1,0.00365
1.0,22.0,Product,A1_B1,0.00421
1.0,25.0,Product,A1_B1,0.00452
1.0,30.0,Product,A1_B1,0.00517
1.0,35.0,Product,A1_B1,0.00488
1.0,40.0,Product,A1_B1,0.00457
1.0,50.0,Product,A1_B1,0.00568
1.0,70.0,Product,A1_B1,0.00633
1.0,80.0,Product,A1_B1,0.00535
1.0,120.0,Product,A1_B1,0.00745
1.0,0.0,Product,A1_B29,0.0
1.0,2.0,Product,A1_B29,0.07805
1.0,4.0,Product,A1_B29,0.11933
1.0,6.0,Product,A1_B29,0.13771
1.0,8.0,Product,A1_B29,0.16253
1.0,10.0,Product,A1_B29,0.15956
1.0,13.0,Product,A1_B29,0.15788
1.0,16.0,Product,A1_B29,0.16035
1.0,19.0,Product,A1_B29,0.16725
1.0,22.0,Product,A1_B29,0.18588
1.0,25.0,Product,A1_B29,0.18295
1.0,30.0,Product,A1_B29,0.18148
1.0,35.0,Product,A1_B29,0.17716
1.0,40.0,Product,A1_B29,0.1603
1.0,50.0,Product,A1_B29,0.18007
1.0,70.0,Product,A1_B29,0.18908
1.0,80.0,Product,A1_B29,0.17599
1.0,120.0,Product,A1_B29,0.18214
1.0,0.0,Product,A1_B29_B1,0.0
1.0,2.0,Product,A1_B29_B1,0.00244
1.0,4.0,Product,A1_B29_B1,0.00451
1.0,6.0,Product,A1_B29_B1,0.00468
1.0,8.0,Product,A1_B29_B1,0.00637
1.0,10.0,Product,A1_B29_B1,0.00617
1.0,13.0,Product,A1_B29_B1,0.00627
1.0,16.0,Product,A1_B29_B1,0.00682
1.0,19.0,Product,A1_B29_B1,0.00617
1.0,22.0,Product,A1_B29_B1,0.00734
1.0,25.0,Product,A1_B29_B1,0.00753
1.0,30.0,Product,A1_B29_B1,0.00786
1.0,35.0,Product,A1_B29_B1,0.00776
1.0,40.0,Product,A1_B29_B1,0.00691
1.0,50.0,Product,A1_B29_B1,0.00848
1.0,70.0,Product,A1_B29_B1,0.00901
1.0,80.0,Product,A1_B29_B1,0.00822
1.0,120.0,Product,A1_B29_B1,0.00969
1.0,0.0,Product,B1,0.0
1.0,35.0,Product,B1,0.00528
1.0,40.0,Product,B1,0.00486
1.0,70.0,Product,B1,0.00754
1.0,80.0,Product,B1,0.03011
1.0,120.0,Product,B1,0.04941
1.0,0.0,Product,B1_B29,0.0
1.0,2.0,Product,B1_B29,0.00669
1.0,4.0,Product,B1_B29,0.012
1.0,6.0,Product,B1_B29,0.007
1.0,8.0,Product,B1_B29,0.00937
1.0,10.0,Product,B1_B29,0.0083
1.0,13.0,Product,B1_B29,0.00818
1.0,16.0,Product,B1_B29,0.01037
1.0,19.0,Product,B1_B29,0.00834
1.0,22.0,Product,B1_B29,0.01012
1.0,25.0,Product,B1_B29,0.00987
1.0,30.0,Product,B1_B29,0.01132
1.0,35.0,Product,B1_B29,0.01049
1.0,40.0,Product,B1_B29,0.00935
1.0,50.0,Product,B1_B29,0.012
1.0,70.0,Product,B1_B29,0.01271
1.0,80.0,Product,B1_B29,0.01042
1.0,120.0,Product,B1_B29,0.01693
1.0,0.0,Substrate,desb30,1.4452
1.0,2.0,Substrate,desb30,0.45109
1.0,4.0,Substrate,desb30,0.2618
1.0,6.0,Substrate,desb30,0.21051
1.0,8.0,Substrate,desb30,0.19826
1.0,10.0,Substrate,desb30,0.16728
