t (detik),pH,,
0,10.489,t,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 195, 210, 225, 240, 255, 270, 285, 300, 360, 420, 480, 540, 600, 660, 720, 780, 840, 900, 960, 1020, 1080, 1140, 1200, 1260, 1320, 1380, 1440, 1500, 1560, 1620, 1680, 1740, 1800, 1860, 1920, 1980, 2040, 2100, 2160, 2220, 2280, 2340, 2400, 2460, 2520, 2580, 2640, 2700, 2760, 2820, 2880, 2940, 3000, 3060, 3120, 3180, 3240, 3300, 3360, 3420, 3480, 3540, 3600"
1,10.231,pH,"10.489, 10.231, 10.125, 9.942, 9.746, 9.704, 9.673, 9.429, 9.389, 9.316, 9.300, 9.236, 9.196, 9.213, 9.274, 9.262, 9.208, 9.163, 9.166, 9.158, 9.147, 9.139, 9.140, 9.142, 9.132, 9.128, 9.111, 9.095, 9.083, 9.086, 9.085, 9.092, 9.086, 9.048, 9.052, 9.071, 9.072, 9.069, 9.039, 8.996, 8.973, 9.006, 9.024, 9.005, 8.973, 8.966, 8.999, 9.005, 8.987, 8.973, 8.968, 8.954, 8.942, 8.940, 8.935, 8.907, 8.895, 8.900, 8.916, 8.897, 8.897, 8.897, 8.879, 8.865, 8.867, 8.865, 8.860, 8.862, 8.862, 8.839, 8.829, 8.837, 8.848, 8.837, 8.822, 8.818, 8.813, 8.801, 8.789, 8.785, 8.775, 8.770, 8.777, 8.780, 8.764, 8.763, 8.771, 8.763, 8.754, 8.763, 8.775, 8.766, 8.757, 8.740, 8.730, 8.724, 8.724, 8.717, 8.716, 8.709, 8.707, 8.710, 8.709, 8.700, 8.698, 8.700, 8.698, 8.691, 8.690, 8.670, 8.657, 8.658, 8.665, 8.667, 8.655, 8.644, 8.636, 8.634, 8.637, 8.641, 8.637, 8.623, 8.603, 8.603, 8.616, 8.601, 8.601, 8.589, 8.594, 8.585, 8.573, 8.575, 8.585, 8.580, 8.566, 8.563, 8.566, 8.561, 8.556, 8.549, 8.547, 8.535, 8.533, 8.540, 8.538, 8.538, 8.536, 8.538, 8.538, 8.536, 8.533, 8.535, 8.547, 8.566, 8.587, 8.608, 8.608, 8.611, 8.613, 8.616, 8.618, 8.616, 8.616, 8.616, 8.616, 8.615, 8.615, 8.615, 8.615, 8.615, 8.615, 8.615, 8.616, 8.616, 8.618, 8.622, 8.623, 8.627, 8.630, 8.634, 8.637, 8.641, 8.643, 8.648, 8.650, 8.653, 8.657, 8.658, 8.662, 8.663, 8.667, 8.669, 8.670, 8.672, 8.674, 8.677, 8.679, 8.681, 8.679, 8.679, 8.679, 8.677, 8.679, 8.677, 8.677, 8.677, 8.676, 8.676, 8.674, 8.674, 8.674, 8.674, 8.674, 8.672, 8.670, 8.670, 8.669, 8.669, 8.667, 8.667, 8.667, 8.667, 8.667, 8.665"
2,10.125,,
3,9.942,,
4,9.746,,
5,9.704,,
6,9.673,,
7,9.429,,
8,9.389,,
9,9.316,,
10,9.300,,
11,9.236,,
12,9.196,,
13,9.213,,
14,9.274,,
15,9.262,,
16,9.208,,
17,9.163,,
18,9.166,,
19,9.158,,
20,9.147,,
21,9.139,,
22,9.140,,
23,9.142,,
24,9.132,,
25,9.128,,
26,9.111,,
27,9.095,,
28,9.083,,
29,9.086,,
30,9.085,,
31,9.092,,
32,9.086,,
33,9.048,,
34,9.052,,
35,9.071,,
36,9.072,,
37,9.069,,
38,9.039,,
39,8.996,,
40,8.973,,
41,9.006,,
42,9.024,,
43,9.005,,
44,8.973,,
45,8.966,,
46,8.999,,
47,9.005,,
48,8.987,,
49,8.973,,
50,8.968,,
51,8.954,,
52,8.942,,
53,8.940,,
54,8.935,,
55,8.907,,
56,8.895,,
57,8.900,,
58,8.916,,
59,8.897,,
60,8.897,,
61,8.897,,
62,8.879,,
63,8.865,,
64,8.867,,
65,8.865,,
66,8.860,,
67,8.862,,
68,8.862,,
69,8.839,,
70,8.829,,
71,8.837,,
72,8.848,,
73,8.837,,
74,8.822,,
75,8.818,,
76,8.813,,
77,8.801,,
78,8.789,,
79,8.785,,
80,8.775,,
81,8.770,,
82,8.777,,
83,8.780,,
84,8.764,,
85,8.763,,
86,8.771,,
87,8.763,,
88,8.754,,
89,8.763,,
90,8.775,,
91,8.766,,
92,8.757,,
93,8.740,,
94,8.730,,
95,8.724,,
96,8.724,,
97,8.717,,
98,8.716,,
99,8.709,,
100,8.707,,
101,8.710,,
102,8.709,,
103,8.700,,
104,8.698,,
105,8.700,,
106,8.698,,
107,8.691,,
108,8.690,,
109,8.670,,
110,8.657,,
111,8.658,,
112,8.665,,
113,8.667,,
114,8.655,,
115,8.644,,
116,8.636,,
117,8.634,,
118,8.637,,
119,8.641,,
120,8.637,,
121,8.623,,
122,8.603,,
123,8.603,,
124,8.616,,
125,8.601,,
126,8.601,,
127,8.589,,
128,8.594,,
129,8.585,,
130,8.573,,
131,8.575,,
132,8.585,,
133,8.580,,
134,8.566,,
135,8.563,,
136,8.566,,
137,8.561,,
