t (detik),pH
1,10.530
2,10.528
3,10.435
4,10.327
5,10.229
6,10.194
7,10.135
8,10.056
9,9.989
10,9.950
11,9.929
12,9.883
13,9.848
14,9.838
15,9.809
16,9.783
17,9.744
18,9.728
19,9.688
20,9.667
21,9.638
22,9.633
23,9.614
24,9.587
25,9.559
26,9.538
27,9.527
28,9.515
29,9.496
30,9.481
31,9.473
32,9.443
33,9.441
34,9.430
35,9.409
36,9.397
37,9.393
38,9.383
39,9.362
40,9.355
41,9.339
42,9.335
43,9.330
44,9.316
45,9.302
46,9.289
47,9.279
48,9.274
49,9.268
50,9.266
51,9.259
52,9.249
53,9.226
54,9.215
55,9.210
56,9.207
57,9.198
58,9.192
59,9.184
60,9.170
61,9.159
62,9.152
63,9.148
64,9.145
65,9.134
66,9.127
67,9.122
68,9.118
69,9.106
70,9.104
71,9.096
72,9.088
73,9.080
74,9.074
75,9.073
76,9.069
77,9.059
78,9.051
79,9.050
80,9.046
81,9.039
82,9.034
83,9.023
84,9.018
85,9.011
86,9.009
87,9.004
88,8.999
89,8.992
90,8.986
91,8.981
92,8.979
93,8.970
94,8.963
95,8.960
96,8.953
97,8.949
98,8.946
99,8.942
100,8.935
101,8.921
102,8.919
103,8.916
104,8.912
105,8.909
106,8.905
107,8.903
108,8.896
109,8.889
110,8.888
111,8.884
112,8.882
113,8.875
114,8.866
115,8.863
116,8.861
117,8.856
118,8.856
119,8.852
120,8.845
121,8.842
122,8.836
123,8.835
124,8.826
125,8.822
126,8.821
127,8.817
128,8.810
129,8.808
130,8.803
131,8.799
132,8.796
133,8.792
134,8.789
135,8.784
136,8.780
137,8.778
138,8.775
139,8.769
140,8.766
141,8.762
142,8.761
143,8.757
144,8.754
145,8.752
146,8.748
147,8.748
148,8.748
149,8.748
150,8.748
151,8.750
152,8.752
153,8.752
154,8.752
155,8.754
156,8.752
157,8.752
158,8.754
159,8.754
160,8.754
161,8.754
162,8.754
163,8.754
164,8.754
165,8.754
166,8.755
167,8.755
168,8.757
169,8.757
170,8.757
171,8.757
172,8.757
173,8.757
174,8.757
175,8.757
176,8.757
177,8.757
178,8.759
179,8.759
180,8.759
181,8.759
182,8.759
183,8.761
184,8.761
185,8.761
186,8.761
187,8.761
188,8.761
189,8.762
190,8.761
191,8.761
192,8.761
193,8.762
194,8.764
195,8.764
196,8.764
197,8.762
198,8.762
199,8.762
200,8.762
201,8.762
202,8.762
203,8.762
204,8.762
205,8.764
206,8.764
207,8.764
208,8.766
209,8.766
210,8.766
211,8.766
212,8.766
213,8.766
214,8.766
215,8.766
216,8.766
217,8.768
218,8.766
219,8.766
220,8.766
221,8.766
222,8.766
223,8.766
224,8.766
225,8.766
226,8.766
227,8.768
228,8.768
229,8.768
230,8.768
231,8.768
232,8.768
233,8.768
234,8.769
235,8.769
236,8.769
237,8.768
238,8.768
239,8.769
240,8.769
241,8.769
242,8.769
243,8.769
244,8.769
245,8.771
246,8.771
247,8.771
248,8.771
249,8.771
250,8.771
251,8.771
252,8.769
253,8.771
254,8.771
255,8.771
256,8.771
257,8.773
258,8.771
259,8.773
260,8.773
261,8.773
262,8.773
263,8.773
264,8.775
265,8.775
266,8.775
267,8.773
268,8.773
269,8.773
270,8.773
271,8.775
272,8.773
273,8.773
274,8.773
275,8.773
276,8.773
277,8.775
278,8.775
279,8.775
280,8.775
281,8.775
282,8.775
283,8.775
284,8.777
285,8.777
286,8.777
287,8.777
288,8.777
289,8.777
290,8.777
291,8.775
292,8.777
293,8.778
294,8.777
295,8.777
296,8.777
297,8.775
298,8.775
299,8.775
300,8.775
